NAME,latitude,longitude,TYPE,PRON. PERIOD,LOCATION,ORDER,TRANSLATION,PRON. CODE,RANK,PRONUNCIATION,ANCIENT LOC.,補足,郡レベル以上,豪族関連名である(国造、県主など),発音近い,古代地名と確認できる,個別の事情クリア,空き地(非重複),他国に近い(非飛び地),必須スコア,単独スコア,相関スコア,総合スコア
烏奴國,,,,,兵庫県丹波篠山市小野新,30,小野,,2,をの1,丹波国多紀郡△小野駅,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,京都府京丹後市,30,小野,,2,をの1,丹後国竹野郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,島根県益田市戸田町,30,小野,,2,をの1,石見国美濃郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,和歌山県海南市小野田,30,小野,,2,をの1,紀伊国名草郡☆小野田,,0,0,0,1,1,1,1,0,2,2,0
烏奴國,,,,,大分県佐伯市宇目大字小野市,30,小野,,2,をの1,豊後国大野郡△小野駅,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,熊本県山鹿市,30,小野,,2,をの1,肥後国山鹿郡小野郷,,0,0,0,1,1,1,0,0,2,1,0
烏奴國,,,,,兵庫県小野市,30,小野,,2,をの1,小野,(兵庫県、江戸小野藩起源か)?,0,0,0,0,1,1,1,0,1,2,0
烏奴國,,,,,兵庫県佐用郡佐用町,30,宇野,,2,うの1,播磨国佐用郡宇野郷,,0,0,1,1,1,1,1,1,3,2,5
烏奴國,,,,,山口県山口市亀山町,30,宇努,,2,うの1,周防国吉敷郡宇努郷,,0,0,1,1,1,1,1,1,3,2,5
烏奴國,,,,,岡山県玉野市宇野,30,宇野,,2,うの1,宇野,(岡山県玉野市。中世か。)?,0,0,1,0,1,1,1,1,2,2,4
烏奴國,,,,,滋賀県長浜市八幡東町,30,阿那,,2,あな,近江国坂田郡阿那郷,,0,0,1,1,1,1,1,1,3,2,5
烏奴國,,,,,滋賀県大津市坂本穴太町,30,穴太,,2,あな,近江国滋賀郡△穴太駅,現在は「あのう」,0,0,1,1,1,1,1,1,3,2,5
烏奴國,,,,,山口県下関市,30,穴門,,2,あなと,穴門国造,,1,1,0,1,1,1,1,0,4,2,0
奴國[2回目],,,,,宮崎県宮崎市佐土原町東上那珂,31,那珂,,2,なか,日向国那珂郡,,1,0,1,1,1,1,0,1,4,1,5
奴國[2回目],,,,,静岡県賀茂郡松崎町那賀,31,那賀,,2,なか,伊豆国那賀郡,,1,0,1,1,1,1,0,1,4,1,5
奴國[2回目],,,,,埼玉県児玉郡美里町古郡,31,那珂,,2,なか,武蔵国那珂郡,,1,0,1,1,1,1,0,1,4,1,5
奴國[2回目],,,,,香川県丸亀市郡家町,31,那珂,,2,なか,讃岐国那珂郡,,1,0,1,1,1,1,1,1,4,2,6
奴國[2回目],,,,,島根県浜田市殿町,31,那賀,,2,なか,石見国那賀郡,,1,0,1,1,1,1,0,1,4,1,5
奴國[2回目],,,,,和歌山県岩出市西野,31,那賀,,2,なが,紀伊国那賀郡,,1,0,1,1,1,0,1,0,4,1,0
奴國[2回目],,,,,徳島県阿南市富岡町,31,那賀,,2,なが,阿波国那賀郡,,1,1,1,1,1,0,1,0,5,1,0
奴國[2回目],,,,,奈良県奈良市,31,中,,2,なか,大和国添上郡*中郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,奈良県生駒郡平群町,31,那珂,,2,なか,大和国平群郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,奈良県五條市中町,31,那珂,,2,なか,大和国宇智郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,奈良県吉野郡吉野町,31,那珂,,2,なか,大和国吉野郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,大阪府柏原市国分本町,31,奈加,,2,なか,河内国安宿郡*奈加郷,安宿部郡(あすかべ)。,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,埼玉県深谷市東方町,31,那珂,,2,なか,武蔵国幡羅郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,岐阜県大垣市丸の内,31,那珂,,2,なか,美濃国安八郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,岐阜県本巣市糸貫町郡府,31,那珂,,2,なか,美濃国席田郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,岐阜県各務原市那加東亜町,31,那珂,,2,なか,美濃国各務郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,新潟県魚沼市,31,那珂,,2,なか,越後国魚沼郡那珂郷,,0,0,1,1,1,1,0,1,3,1,4
奴國[2回目],,,,,兵庫県多可郡多可町中区中村町,31,那珂,,2,なか,播磨国多可郡那珂郷,,0,0,1,1,1,1,1,1,3,2,5
奴國[2回目],,,,,愛媛県松山市北条辻,31,那賀,,2,なか,伊予国風早郡那賀郷,,0,0,1,1,1,1,0,1,3,1,4
奴國[2回目],,,,,長崎県壱岐市芦辺町国分本村触,31,那賀,,2,なか,壱岐国壱伎郡那賀郷,,0,0,1,1,1,0,1,0,3,1,0
狗奴國,,,,,鳥取県岩美郡岩美町岩井,32,巨濃,,2,こ2の1,因幡国巨濃郡,中世に岩井郡に名称変更,1,0,1,1,1,1,0,1,4,1,5
狗奴國,,,,,,32,球磨,,2,くま,肥後国球磨郡・球磨県・熊県主,球磨の野,1,1,0,1,1,,,0,4,0,0
狗奴國,,,,,京都府京丹後市久美浜町甲山,32,熊野,,2,くまの1,丹後国熊野郡,,1,0,1,1,1,1,0,1,4,1,5
狗奴國,,,,,兵庫県美方郡新温泉町指杭,32,熊野,,2,くまの1,但馬国二方郡熊野郷,,0,0,1,1,1,1,0,1,3,1,4
狗奴國,,,,,,32,救麻,,2,くま,日向国宮埼郡救麻駅,,0,0,0,1,1,,,0,2,0,0
狗奴國,,,,,,32,球磨,,2,くま,肥後国益城郡△球磨駅,,0,0,0,1,1,,,0,2,0,0
狗奴國,,,,,和歌山県田辺市本宮町本宮,32,熊野,,2,くまの1,熊野国造・紀伊国牟婁郡,,1,1,1,1,1,1,1,1,5,2,7
狗奴國,,,,,熊本県菊池市隈府８８８,32,久木野,,2,くきの1,肥後菊池郡久木野,現在は地名残らず。大日本地名辞書,0,0,1,0,1,1,0,1,2,1,3
狗奴國,,,,,熊本県阿蘇郡南阿蘇村河陰１４５−３,32,久木野,,2,くぎの1,肥後国阿蘇郡久木野,大日本地名辞書,0,0,1,0,1,1,0,1,2,1,3
狗奴國,,,,, 岐阜県高山市久々野町無数河６４５,32,久久野,,2,くくの1,飛騨国益田郡久久野,大日本地名辞書,0,0,1,0,1,1,1,1,2,2,4
狗奴國,,,,,福岡県京都郡みやこ町勝山上田960番地,32,蒭野,,2,くさの1,豊前国仲津郡蒭野郷,,0,0,1,1,1,1,1,1,3,2,5
狗奴國,,,,,,32,楠乃,,2,くすの2,楠乃,,,,0,0,1,,,0,1,0,0
狗奴國,,,,,静岡県伊豆の国市北江間,32,口野,,2,くちの1,駿河国駿東郡口野,大日本地名辞書,0,0,1,0,1,1,0,1,2,1,3
狗奴國,,,,,長野県下高井郡山ノ内町平穏１１８８,32,沓野,,2,くつの1,信濃国下高井郡沓野,大日本地名辞書,0,0,1,0,1,1,1,1,2,2,4
狗奴國,,,,,鹿児島県姶良郡湧水町木場７９０,32,児野,,2,くにの1,大隅国伊佐郡区児野,現在は栗野(くりの)。大日本地名辞書,0,0,1,0,1,1,0,1,2,1,3
狗奴國,,,,,鹿児島県姶良郡湧水町木場７９０,32,栗野,,2,くりの1,大隅国伊佐郡栗野,大日本地名辞書,0,0,1,0,1,1,0,1,2,1,3
狗奴國,,,,,岐阜県揖斐郡大野町黒野６９８−３２,32,黒野,,2,くろの1,美濃国揖斐郡黒野,,0,0,1,0,1,0,1,0,2,1,0
狗奴國,,,,,岐阜県岐阜市黒野,32,黒野,,2,くろの1,美濃国稲葉郡黒野,,0,0,1,0,1,0,1,0,2,1,0
狗奴國,,,,,徳島県阿南市桑野町鳥居前１−１,32,桑野,,2,くわの1,阿波国那賀郡桑野,,0,0,1,0,1,1,1,1,2,2,4
狗奴國,,,,,福島県郡山市桑野２丁目３６−１,32,桑野,,2,くわの1,岩代国田村郡桑野,,0,0,1,0,1,1,1,1,2,2,4
狗奴國,,,,,静岡県伊豆市湯ケ島,32,狩野,,2,かの1,伊豆国田方郡狩野,,0,0,1,1,1,1,1,1,3,2,5
狗奴國,,,,,滋賀県愛知郡愛荘町蚊野,32,蚊野,,2,かの1,近江国愛智郡蚊野,,0,0,1,1,1,1,1,1,3,2,5
狗奴國,,,,,山口県美祢市大嶺町東分326-1,32,鹿野,,2,かの1,長門国美祢郡△鹿野駅,,0,0,1,1,1,1,1,1,3,2,5
