KEY,latitude,longitude,status_code,出土状況,古墳特定,集成編年,時期,コメント,文献
福岡・妙法寺2号,33.509763,130.417898,0,0,1,2,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
福岡・神蔵,33.386718,130.652206,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
福岡・豊前石塚山(第1主体),33.775567,130.980056,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
福岡・那珂八幡,33.57042,130.435904,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
群馬・頼母子,36.26071637,139.3615823,0,0,1,-,古墳前期前半?,p.122図4より2期相当[1],[1]早稲田大学東アジア都城・シルクロード考古学研究所 2018 『早稲田大学東アジア都城・シルクロード考古学研究所　研究論集第１冊：野本将軍塚古墳と東国の前期古墳』早稲田大学東アジア都城・シルクロード考古学研究所 https://sitereports.nabunken.go.jp/71712
香川・奥3号(第1主体),34.27888756,134.2191955,0,0,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・長岡近郊,,,13,伝,0,-,不明,,
兵庫・播磨,,,13,伝,0,-,不明,,
大分・宇佐付近,,,13,伝,0,-,不明,,
奈良・北和城南,34.866723,135.783831,13,伝,1,-,不明,本県と京都、大阪両府の8古墳の盗掘品「北和城南古墳」という架空の古墳の名称で保管されていた[1]。城南市西山6号墳の可能性高い[2]。３号墳と６号墳（ともに円墳）は調査が及ぶ前に破壊[3]。  ,[1] https://www.nara-np.co.jp/news/20170623091045.html 。[2]北和城南古墳出土品調査報告書 (奈良国立博物館 2017)  https://narahaku.repo.nii.ac.jp/index.php?action=pages_view_main&active_action=repository_view_main_item_snippet&index_id=326&pn=1&count=20&order=7&lang=japanese&page_id=13&block_id=21 。[3]  http://hmuseum.doshisha.ac.jp/html/research/report/report2017_16/2017nishiyama.pdf
奈良・都介野,,,13,伝,0,-,不明,都介野岳? 三陵墓古墳? 、前期の古墳が発見されておらず中期になりますと、前方後円墳(都祁三陵墓東古墳)[1],[1]奈良市埋蔵文化財調査センター 2005 『平城京展図録23：発掘調査からみた奈良市東部の考古学』奈良市教育委員会 https://sitereports.nabunken.go.jp/1454 。
岐阜・可児町土田,,,13,伝,0,-,不明,古墳?,
岡山・岡山県内,,,13,伝,0,-,不明,,
熊本・八代郡,,,13,伝,0,-,不明,,
群馬・三本木,36.206288,139.054943,13,伝,0,-,不明,神田三本木古墳群 ?  三本木地区（伝三本木古墳）からは三角縁神獣鏡、神田地区からは内行花文鏡の出土が伝えられるが、前期古墳の存在は明らかでない[1]。 https://sitereports.nabunken.go.jp/files/attach/38/38905/86511_1_%E7%BE%A4%E9%A6%AC%E7%9C%8C%E8%97%A4%E5%B2%A1%E5%B8%82%E4%B8%83%E8%BC%BF%E5%B1%B1%E5%8F%A4%E5%A2%B3%E3%81%AE%E6%B8%AC%E9%87%8F%E3%83%BBGPR%E8%AA%BF%E6%9F%BB.pdf ,[1] https://sitereports.nabunken.go.jp/files/attach/38/38905/86511_1_%E7%BE%A4%E9%A6%AC%E7%9C%8C%E8%97%A4%E5%B2%A1%E5%B8%82%E4%B8%83%E8%BC%BF%E5%B1%B1%E5%8F%A4%E5%A2%B3%E3%81%AE%E6%B8%AC%E9%87%8F%E3%83%BBGPR%E8%AA%BF%E6%9F%BB.pdf 
鳥取・倉吉市旧社邑付近,,,13,伝,0,-,不明,,
宮崎・持田古墳群,32.150065,131.519314,13,推定,0,-,不明,古墳時代前期段階の４世紀前半から古墳時代終末期段階の７世紀前半頃まで(ただし48号を4世紀前半としており集成編年と矛盾)[1]。http://www.miyazaki-archive.jp/d-museum/mk-heritage/burialmounds/summary_mochida.html,[1] http://www.miyazaki-archive.jp/d-museum/mk-heritage/burialmounds/summary_mochida.html
徳島・板野町吹田,34.15424651,134.4629073,13,推定,0,-,不明,鳴門・板野古墳群に至っては，出土状況不明の板野町吹田出土鏡のみという状況である[1]。    弥生時代終末期から古墳時代前期（３世紀初頭～４世紀末）[2]。  ,"[1]植地岳彦(2022)「「古鏡帳」の三角縁神獣鏡図について」徳島県立博物館研究報告 Bull. Tokushima Pref. Mus. No. 32: 75–82, 2022  https://museum.bunmori.tokushima.jp/kiyo.html 。[2]文化財｜渦の国 鳴門｜https://www.city.naruto.tokushima.jp/promotion/bunkazai/itano_kofungun.html"
福井・足羽山山頂付近,36.0562178,136.2089625,12,伝,0,-,古墳中期?,福井・足羽山山頂古墳の付近(目録より)。4世紀末[1]。4世紀末-5世紀初頭[2]。,"[1]熊本県立装飾古墳館 2017 『ヲホド大王と越の国の装飾古墳』全国の装飾古墳12 https://sitereports.nabunken.go.jp/22202 。[2]「足羽山古墳群」『福井市史』資料編 1 (考古),福井市,1990.3 p.238-279. https://dl.ndl.go.jp/pid/9540805    。"
宮崎・持田48号,32.150065,131.519314,12,推定,1,5,古墳中期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
奈良・富雄丸山1号,34.666486,135.752133,12,伝,1,-,古墳前期後半,築造時期は古墳時代前期後半の4世紀後半頃と推定される[1]。 ４世紀後半（古墳時代前期後半）と推定[2]。,[1] https://ja.wikipedia.org/wiki/%E5%AF%8C%E9%9B%84%E4%B8%B8%E5%B1%B1%E5%8F%A4%E5%A2%B3 。  [2]奈良市教育委員会「富雄丸山古墳の墳丘測量調査成果について」 https://www.city.nara.lg.jp/uploaded/attachment/16753.pdf
岡山・香登,34.723879,134.120409,12,伝,1,-,古墳前期後半?,丸山古墳? 岡山県備前市畠田福田香登本 古墳時代前期（4世紀後半）[1]  https://okayama-labo.net/maruyamakofun/  鶴山丸山古墳/丸山古墳 歴博報56、古墳中期-古墳（円墳、竪穴式石室+家形石棺）[2]。(鶴山丸山古墳)伝とのこと[3],[1]丸山古墳「丘陵頂部に築造された岡山県内最大の円墳」 | OKA-LABO（おかラボ）｜岡山（岡山近県）観光サイト https://okayama-labo.net/maruyamakofun/  。[2]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_290953  [3]下垣仁志2010『三角縁神獣鏡研究事典』
大阪・国分茶臼山,34.569667,135.643417,11,伝,1,-,古墳前期,市場茶臼山古墳 大阪府柏原市国分市場1丁目  古墳（円墳）。 歴博報56、古墳前期-古墳[1]。同じものらしい[2]。,[1]歴博報56。  https://www.i-repository.net/il/meta_pub/G0000556remains_202451  [2]向井山茶臼塚古墳 | 大阪府柏原市 http://www.city.kashiwara.osaka.jp/docs/2016081600037/?doc_id=5205 。
愛知・百々,35.105583,137.192667,11,伝,1,-,古墳前期,どうどこふん。歴博報56、古墳前期-古墳（円墳）[1]。,[1]歴博報56。 https://www.i-repository.net/il/meta_pub/G0000556remains_147813 
大阪・石切周辺,34.68210248,135.6568148,11,推定,1,-,古墳前期,大阪府東大阪市東石切町 歴博報56、古墳前期-古墳[1],[1]歴博報56  https://www.i-repository.net/il/meta_pub/G0000556remains_204350 
福岡・大願寺,33.397559,130.655281,10,推定,1,2,古墳前期前半,平塚大願寺遺跡? 「また甘木市大願寺遺跡からも出土した可能性が強いときく」[1]。古墳初頭期の遺跡[2]。 前期2期[3]。 ,[1]福岡市教育委員会 1982 『福岡市埋蔵文化財調査報告書80：藤崎遺跡』福岡市教育委員会 https://sitereports.nabunken.go.jp/17023 。[2]21. 甘木市史編さん委員会『甘木市史上巻 福岡県教育委員会 1995 『九州横断自動車道関係埋蔵文化財調査報告35：九州横断自動車道関係埋蔵文化財調査報告35』福岡県教育委員会 https://sitereports.nabunken.go.jp/72506 。[3]小郡市教育委員会 2019 『小郡市文化財調査報告書326：津古1号墳確認調査』小郡市教育委員会 https://sitereports.nabunken.go.jp/71548 。
愛知・奥津社,35.19090257,136.7557495,10,推定,1,1,古墳前期前半,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
